Type,Identifier,Text
WriteText,textCutsceneScript1E_WriteText_000A_0,～だい6しょう～<BR> 『しゃくねつの とう』<BR>
WriteText,textCutsceneScript1E_WriteText_0036_0,みんな あつまったわね。<BR>では はじめましょう。<BR>
WriteText,textCutsceneScript1E_WriteText_0052_0,<NAME>くんの ちょうさで<BR>『まじんき』は 『やまと』に<BR>ないことが わかりました。<BR>
WriteText,textCutsceneScript1E_WriteText_0085_0,『やまと』にないっちゅー<BR>ことは さらに そのおく‥‥<BR>
WriteText,textCutsceneScript1E_WriteText_00AA_0,『せいまじょう』と<BR>いうことになるわね。<BR>
WriteText,textCutsceneScript1E_WriteText_00C8_0,そうなのよ。<BR>『まじんき』は おそらく<BR>『せいまじょう』にあるわよ。<BR>
WriteText,textCutsceneScript1E_WriteText_00F6_0,よきひこさん。<BR>おからだは だいじょうぶ<BR>なんですか?<BR>
WriteText,textCutsceneScript1E_WriteText_0119_0,あたしは だいじょうぶよ。<BR>それよりも いまは<BR>『まじんき』でしょ。<BR>
WriteText,textCutsceneScript1E_WriteText_0145_0,かえでさん。<BR>『まじんき』は<BR>『せいまじょう』よ。<BR>
WriteText,textCutsceneScript1E_WriteText_0166_0,あたしも 『やまと』は<BR>スミまでしらべたのよ。でも<BR>『まじんき』は なかったわ。<BR>
WriteText,textCutsceneScript1E_WriteText_019A_0,それで 『せいまじょう』へ<BR>いこうと したんだけど<BR>とちゅうで つかまって‥‥<BR>
WriteText,textCutsceneScript1E_WriteText_01CB_0,『せいまじょう』は<BR>あの さきに あるんですか?<BR>
WriteText,textCutsceneScript1E_WriteText_01ED_0,そうよ。<BR>
WriteText,textCutsceneScript1E_WriteText_01F9_0,じゃあ きまりだな。<BR>つぎは 『せいまじょう』だ。<BR>
WriteText,textCutsceneScript1E_WriteText_021C_0,『せいまじょう』に<BR>のこり2つの『まじんき』が<BR>あるのですわね。<BR>
WriteText,textCutsceneScript1E_WriteText_0248_0,かえでさーん<BR>『せいまじょう』って<BR>なんでーすか?<BR>
WriteText,textCutsceneScript1E_WriteText_026B_0,『せいまじょう』は<BR>『やまと』といっしょに<BR>しずんだ おしろなの。<BR>
WriteText,textCutsceneScript1E_WriteText_0294_0,たくさんの おんりょうに<BR>しはいされた のろわれた<BR>おしろなのよ。<BR>
WriteText,textCutsceneScript1E_WriteText_02BD_0,てきが てごわくなる‥‥<BR>
WriteText,textCutsceneScript1E_WriteText_02D1_0,そうだね‥‥<BR>
WriteText,textCutsceneScript1E_WriteText_02DF_0,<NAME>くん。<BR>きを ひきしめて<BR>いきなさい。<BR>
OptionSelectTimed,textCutsceneScript1E_OptionSelectTimed_02F7_0,はい。
WriteText,textCutsceneScript1E_WriteText_030E_0,はい。<BR>りょうかい!!<BR>
WriteText,textCutsceneScript1E_WriteText_032A_0,Oh! いいへんじでーす。<BR>
WriteText,textCutsceneScript1E_WriteText_033F_0,<NAME>さん。<BR>がんばって くださーい!<BR>ななころび やおきでーす。<BR>
WriteText,textCutsceneScript1E_WriteText_0368_0,‥‥‥‥‥‥‥‥‥‥‥‥<BR>
WriteText,textCutsceneScript1E_WriteText_037C_0,<NAME>さん。<BR>ボケーっと していては<BR>ダメでーす。<BR>
WriteText,textCutsceneScript1E_WriteText_0397_0,もっと キリッと<BR>しなさーい。<BR>
WriteText,textCutsceneScript1E_WriteText_03AD_0,は はい。<BR>
WriteText,textCutsceneScript1E_WriteText_03BD_0,では <NAME>くん。<BR>『せいまじょう』のちょうさを<BR>めいじます。<BR>
WriteText,textCutsceneScript1E_WriteText_03E4_0,がんばってね<RED>♥<BLACK><BR>チュッ<RED>♥<BLACK><BR>
WriteText,textCutsceneScript1E_WriteText_03FF_0,みんな あつまったわね。<BR>では はじめましょう。<BR>
WriteText,textCutsceneScript1E_WriteText_041B_0,『やまと』に 『まじんき』は<BR>なかったようね。<BR>
WriteText,textCutsceneScript1E_WriteText_043E_0,『やまと』にないっちゅー<BR>ことは さらに そのおく‥‥<BR>
WriteText,textCutsceneScript1E_WriteText_0463_0,『せいまじょう』と<BR>いうことになるわね。<BR>
WriteText,textCutsceneScript1E_WriteText_0481_0,そうなのよ。<BR>『まじんき』は おそらく<BR>『せいまじょう』にあるわよ。<BR>
WriteText,textCutsceneScript1E_WriteText_04AF_0,よきひこさん。<BR>おからだは だいじょうぶ<BR>なんですか?<BR>
WriteText,textCutsceneScript1E_WriteText_04D2_0,あたしは だいじょうぶよ。<BR>それよりも いまは<BR>『まじんき』でしょ。<BR>
WriteText,textCutsceneScript1E_WriteText_04FE_0,かえでさん。<BR>『まじんき』は<BR>『せいまじょう』よ。<BR>
WriteText,textCutsceneScript1E_WriteText_051F_0,あたしも 『やまと』は<BR>スミまでしらべたのよ。でも<BR>『まじんき』は なかったわ。<BR>
WriteText,textCutsceneScript1E_WriteText_0553_0,それで 『せいまじょう』へ<BR>いこうと したんだけど<BR>とちゅうで つかまって‥‥<BR>
WriteText,textCutsceneScript1E_WriteText_0584_0,『せいまじょう』は<BR>あの さきに あるんですか?<BR>
WriteText,textCutsceneScript1E_WriteText_05A6_0,そうよ。<BR>
WriteText,textCutsceneScript1E_WriteText_05B2_0,じゃあ きまりだな。<BR>つぎは 『せいまじょう』だ。<BR>
WriteText,textCutsceneScript1E_WriteText_05D5_0,『せいまじょう』に<BR>のこり2つの『まじんき』が<BR>あるのですわね。<BR>
WriteText,textCutsceneScript1E_WriteText_0601_0,かえでさーん<BR>『せいまじょう』って<BR>なんでーすか?<BR>
WriteText,textCutsceneScript1E_WriteText_0624_0,『せいまじょう』は<BR>『やまと』といっしょに<BR>しずんだ おしろなの。<BR>
WriteText,textCutsceneScript1E_WriteText_064D_0,たくさんの おんりょうに<BR>しはいされた のろわれた<BR>おしろなのよ。<BR>
WriteText,textCutsceneScript1E_WriteText_0676_0,てきが てごわくなる‥‥<BR>
WriteText,textCutsceneScript1E_WriteText_068A_0,そうだね‥‥<BR>
WriteText,textCutsceneScript1E_WriteText_0698_0,<NAME>。<BR>きを ひきしめて<BR>いきなさい。<BR>
OptionSelectTimed,textCutsceneScript1E_OptionSelectTimed_06AE_0,はい。
WriteText,textCutsceneScript1E_WriteText_06C5_0,はい。<BR>りょうかい!!<BR>
WriteText,textCutsceneScript1E_WriteText_06E1_0,うん! いいへんじだ。<BR>
WriteText,textCutsceneScript1E_WriteText_06F6_0,‥‥‥‥‥‥‥‥‥‥‥‥<BR>
WriteText,textCutsceneScript1E_WriteText_070A_0,<NAME>くん。<BR>ボケーっと していては<BR>ダメだぞ。<BR>
WriteText,textCutsceneScript1E_WriteText_0724_0,きあいを いれないと<BR>おもわぬミスを<BR>してしまうぞ。<BR>
WriteText,textCutsceneScript1E_WriteText_0745_0,は はい。<BR>
WriteText,textCutsceneScript1E_WriteText_0755_0,では <NAME>。<BR>『せいまじょう』のちょうさを<BR>めいじます。<BR>
WriteText,textCutsceneScript1E_WriteText_077A_0,がんばってね<RED>♥<BLACK><BR>チュッ<RED>♥<BLACK><BR>
